,Unnamed: 0_level_0_Minute,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Squad,Unnamed: 3_level_0_xG,Unnamed: 4_level_0_PSxG,Unnamed: 5_level_0_Outcome,Unnamed: 6_level_0_Distance,Unnamed: 7_level_0_Body Part,Unnamed: 8_level_0_Notes,SCA 1_Player,SCA 1_Event,SCA 2_Player,SCA 2_Event
12,53.0,Wilfried Zaha,Crystal Palace,0.08,,Blocked,11.0,Right Foot,,Jordan Ayew,Pass (Live),James McArthur,Pass (Live)
13,54.0,Jeffrey Schlupp,Crystal Palace,0.05,,Off Target,10.0,Left Foot,,Marc Guéhi,Pass (Live),Jaïro Riedewald,Pass (Dead)
14,58.0,Trevoh Chalobah,Chelsea,0.02,0.35,Goal,28.0,Right Foot,,Mateo Kovačić,Pass (Live),Jorginho,Pass (Live)
15,63.0,Jordan Ayew,Crystal Palace,0.05,0.18,Saved,9.0,Head,,James McArthur,Pass (Live),Tyrick Mitchell,Pass (Live)
16,68.0,Mason Mount,Chelsea,0.02,,Blocked,26.0,Right Foot,,Mateo Kovačić,Pass (Live),Reece James,Pass (Live)
17,90.0,Christian Benteke,Crystal Palace,0.03,,Off Target,14.0,Right Foot,Volley,James McArthur,Pass (Live),Wilfried Zaha,Pass (Live)
0,2,James Tarkowski,Burnley,0.54,0.86,Goal,3.0,Head,,Ashley Westwood,Pass (Dead),Charlie Taylor,Pass (Dead)
1,16,Solly March,Brighton,0.05,0.05,Saved,31.0,Left Foot,Free kick,Neal Maupay,Fouled,Robert Sánchez,Pass (Live)
2,19,Jack Cork,Burnley,0.06,,Off Target,18.0,Right Foot,,Charlie Taylor,Pass (Live),Dwight McNeil,Pass (Live)
3,19,Jóhann Berg Guðmundsson,Burnley,0.04,,Woodwork,24.0,Right Foot,,,,,
4,22,Chris Wood,Burnley,0.02,0.02,Saved,25.0,Left Foot,,Matthew Lowton,Pass (Live),Chris Wood,Pass (Live)
5,31,Jay Rodriguez,Burnley,0.16,0.06,Saved,17.0,Right Foot,,Ashley Westwood,Pass (Live),Chris Wood,Pass (Live)
6,35,Shane Duffy,Brighton,0.02,,Off Target,12.0,Head,,,,,
7,36,Ben Mee,Burnley,0.19,,Woodwork,3.0,Head,,Dwight McNeil,Pass (Live),,
8,36,James Tarkowski,Burnley,0.07,,Off Target,9.0,Right Foot,Volley,Ben Mee,Shot,,
9,38,Neal Maupay,Brighton,0.07,0.07,Saved,17.0,Right Foot,Volley,Enock Mwepu,Pass (Live),Neal Maupay,Pass (Live)
10,41,Shane Duffy,Brighton,0.01,,Blocked,11.0,Head,,Solly March,Pass (Dead),,
11,41,Pascal Groß,Brighton,0.03,,Off Target,18.0,Right Foot,Volley,Shane Duffy,Shot,,
12,41,Neal Maupay,Brighton,0.04,,Off Target,12.0,Head,,Solly March,Pass (Live),Adam Webster,Pass (Live)
13,,,,,,,,,,,,,
